Country,Year,DomesticType,ProductionType,DomesticConsumption,Production,Export,Import,ImporterConsumption,GreenInventory,ReExport
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Malawi,1993,Arabica,Arabica,120000,3720000,6240000,NULL,NULL,NULL,NULL
Malawi,1993,Arabica,Arabica,120000,3720000,6240000,NULL,NULL,NULL,NULL
Malawi,1993,Arabica,Arabica,120000,3720000,6240000,NULL,NULL,NULL,NULL
Malawi,1993,Arabica,Arabica,120000,3720000,6240000,NULL,NULL,NULL,NULL
Malawi,1993,Arabica,Arabica,120000,3720000,6240000,NULL,NULL,NULL,NULL
Malawi,1993,Arabica,Arabica,120000,3720000,6240000,NULL,NULL,NULL,NULL
Malawi,1993,Arabica,Arabica,120000,3720000,6240000,NULL,NULL,NULL,NULL
Malawi,1993,Arabica,Arabica,120000,3720000,6240000,NULL,NULL,NULL,NULL
Malawi,1993,Arabica,Arabica,120000,3720000,6240000,NULL,NULL,NULL,NULL
Malawi,1993,Arabica,Arabica,120000,3720000,6240000,NULL,NULL,NULL,NULL
Malawi,1993,Arabica,Arabica,120000,3720000,6240000,NULL,NULL,NULL,NULL
Malawi,1993,Arabica,Arabica,120000,3720000,6240000,NULL,NULL,NULL,NULL
Malawi,1993,Arabica,Arabica,120000,3720000,6240000,NULL,NULL,NULL,NULL
Malawi,1993,Arabica,Arabica,120000,3720000,6240000,NULL,NULL,NULL,NULL
Malawi,1993,Arabica,Arabica,120000,3720000,6240000,NULL,NULL,NULL,NULL
